Rk,G,Date,Age,Tm,,Opp,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
42,42,1/20/2010,20-147,OKC,@,MIN,W (+2),0,25:38:00,5,11,0.455,2,7,0.286,0,0,,0,3,3,3,1,0,0,2,12,9.5,5
43,43,1/22/2010,20-149,OKC,@,MEM,L (-2),0,28:14:00,3,6,0.5,3,4,0.75,4,4,1,0,7,7,5,2,0,1,1,13,16.2,1
44,44,1/23/2010,20-150,OKC,@,CLE,L (-1),0,27:09:00,1,8,0.125,1,3,0.333,6,6,1,2,2,4,1,1,0,0,2,9,6.7,4
45,45,1/27/2010,20-154,OKC,,CHI,L (-10),0,18:30,3,10,0.3,2,4,0.5,0,0,,0,2,2,1,0,0,1,2,8,1.7,1
46,46,1/29/2010,20-156,OKC,,DEN,W (+17),0,19:43,4,8,0.5,3,5,0.6,1,2,0.5,0,1,1,1,1,0,2,3,12,6.4,6
47,47,1/31/2010,20-158,OKC,,GSW,W (+8),0,19:38,1,7,0.143,0,2,0,3,4,0.75,1,5,6,1,1,0,1,3,5,1.8,1
48,48,2/2/2010,20-160,OKC,,ATL,W (+7),0,20:10,2,6,0.333,1,4,0.25,4,5,0.8,0,1,1,2,1,0,1,3,9,5.7,-2
49,49,2/3/2010,20-161,OKC,@,NOH,W (+4),0,16:24,1,3,0.333,1,3,0.333,2,2,1,0,2,2,0,0,1,1,3,5,2.4,-1
50,50,2/6/2010,20-164,OKC,@,GSW,W (+9),0,22:00,3,8,0.375,1,3,0.333,0,0,,0,2,2,0,0,0,2,4,7,-0.4,1
51,51,2/9/2010,20-167,OKC,@,POR,W (+12),0,24:11:00,4,9,0.444,2,5,0.4,3,4,0.75,0,3,3,2,2,0,0,1,13,11.8,2
52,52,2/16/2010,20-174,OKC,,DAL,W (+13),0,31:22:00,5,7,0.714,3,4,0.75,4,4,1,0,5,5,6,0,0,2,5,17,15.8,16
53,53,2/20/2010,20-178,OKC,@,NYK,W (+3),0,31:20:00,4,9,0.444,1,3,0.333,5,7,0.714,0,5,5,2,1,1,4,4,14,7.5,4
54,54,2/21/2010,20-179,OKC,@,MIN,W (+2),0,20:50,3,6,0.5,2,3,0.667,0,0,,1,3,4,1,1,0,2,2,8,5.5,-10
55,55,2/23/2010,20-181,OKC,,PHO,L (-2),0,27:20:00,2,7,0.286,0,4,0,1,2,0.5,1,2,3,2,2,0,4,4,5,-0.4,13
56,56,2/24/2010,20-182,OKC,@,SAS,L (-8),0,27:02:00,3,7,0.429,2,4,0.5,0,0,,2,5,7,0,2,0,1,4,8,6.6,-6
57,57,2/26/2010,20-184,OKC,,MIN,W (+17),0,18:19,2,9,0.222,0,3,0,2,5,0.4,0,2,2,2,0,0,2,1,6,-1.1,-3
58,58,2/28/2010,20-186,OKC,,TOR,W (+20),0,25:30:00,4,8,0.5,0,3,0,4,4,1,0,4,4,1,1,0,1,6,12,7.5,2
59,59,3/2/2010,20-188,OKC,,SAC,W (+6),0,18:00,1,5,0.2,1,2,0.5,0,0,,0,1,1,0,1,0,1,5,3,-1.8,-15
60,60,3/3/2010,20-189,OKC,@,DEN,L (-29),0,28:48:00,3,8,0.375,3,5,0.6,10,11,0.909,3,2,5,1,3,0,3,3,19,16.4,-8
61,61,3/5/2010,20-191,OKC,@,LAC,W (+17),0,28:16:00,5,11,0.455,3,6,0.5,4,4,1,0,3,3,4,1,2,0,0,17,17.4,11
62,62,3/7/2010,20-193,OKC,@,SAC,W (+6),0,19:32,5,10,0.5,1,3,0.333,3,3,1,2,0,2,0,2,1,3,4,14,8.5,-1
63,63,3/10/2010,20-196,OKC,,NOH,W (+15),0,13:38,1,5,0.2,0,3,0,4,4,1,0,2,2,2,1,1,1,0,6,5.6,8
70,64,3/24/2010,20-210,OKC,,HOU,W (+18),0,25:55:00,6,10,0.6,3,4,0.75,8,8,1,0,2,2,2,2,1,1,3,23,20.9,23
71,65,3/26/2010,20-212,OKC,,LAL,W (+16),0,22:45,1,6,0.167,1,4,0.25,3,4,0.75,0,4,4,1,3,0,2,1,6,4.3,-2
72,66,3/28/2010,20-214,OKC,,POR,L (-5),0,16:17,1,5,0.2,0,4,0,1,2,0.5,1,1,2,0,0,0,1,3,3,-1.7,-2
73,67,3/30/2010,20-216,OKC,@,PHI,W (+18),0,21:26,5,7,0.714,2,2,1,0,0,,0,4,4,1,3,0,0,0,12,14,14
74,68,3/31/2010,20-217,OKC,@,BOS,W (+5),0,25:47:00,1,2,0.5,0,1,0,3,4,0.75,0,3,3,3,2,0,2,3,5,5.4,10
75,69,4/3/2010,20-220,OKC,@,DAL,W (+5),0,19:14,3,5,0.6,1,3,0.333,4,4,1,0,2,2,3,1,0,3,3,11,8.2,16
76,70,4/4/2010,20-221,OKC,,MIN,W (+8),0,14:51,3,6,0.5,0,0,,1,2,0.5,0,4,4,0,1,0,0,2,7,5,-2
77,71,4/6/2010,20-223,OKC,@,UTA,L (-1),0,28:39:00,4,7,0.571,2,5,0.4,5,6,0.833,0,4,4,0,1,0,2,3,15,10.3,13
78,72,4/7/2010,20-224,OKC,,DEN,L (-4),0,20:39,1,7,0.143,0,2,0,0,0,,1,0,1,0,0,1,1,3,2,-3.3,10
