polarity,tweet
0.15,Lamelo Ball24 Points11 Assists 7 ReboundsAnd a win for the hornets MELOD1P is getting scary for the rest of the NBA
0,LaMelo Ball drops 24 PTS 7 REB 10 AST with a CAREERHIGH 7 3PT leading the hornets to victory against the Hou
0,NBA hornets hornets I think melo should stay a starter just a thought
0.2,Told yall MELOD1P really that guy hornets BuzzCity
0.316666667,Super exciting time to be a hornets fan rn BringBackTheBuz
0.4,hornets NewAmsterdam AllFly I BEElieve the Hornets will BEE in the playoffs this season So happy to finally hav
0,NBA hornets This is the blueprint
0,dmcland72 hornets Cant
0,hornets Sprite MELOD1P MELOD1P MilesBridges your nickname is MampM
0,NBA hornets Oh no Gordon already having to take a backseat Again
0.15,hornets Sprite MELOD1P I havent smile in a long time in the Carolinas thanks HORNETS
0,traIaww hornets MELOD1P Not the warriors they have curry
0.1,AlmightyTaka hornets Sprite MELOD1P WellOther than like this game he could lmao
0.3,The hornets are exciting They have become a must watch of mine
0,NBA hornets Lamelo is the truth
0,NBA hornets ROTY tbhhh
0,NBA hornets This kid showing out rn
0.6,Huge win hornets I am rocking with MBX2 MELOD1P
0,hornets shout out to the OG twitter fans whove been here for a whileThe nation is starting to wake up to the
0.25,NBA hornets Lamelo plays zero defense Its not all about offense Theres a reason Anthony Edwards is the first pick
0,hornets NewAmsterdam FUNest team and its not even close
-0.05,AlmightyTaka hornets Sprite MELOD1P He blew 3 wide open layups man But he was scorching from three ROY
-0.4,MELOD1P is too GOATED What rookie makes 7 3s in a game ROTY UNDOUBTEDLY AND ANONYMOUSLY hornets
0,NBA hornets If none of you knew by now LaMelo made 7 threes
0.5,NBA hornets Better than Carmelo
0.05,Martin2Hype hornets Sprite MELOD1P The rockets was swarming the paint barely anybody could score in there
0.1,MilesBFanClub hornets NewAmsterdam If we keep playing like this than we are definitely making it I really like
-0.194444444,hornets Sprite MELOD1P Borrego is in a tough spot now He knows he cant justify Melo not Starting once Graham C
-0.1,FKNTORO HoustonRockets hornets NBATV SHAQ shaqtin The way he just tries to play it off has me laughing still
0.1,NBA hornets Lamelo is roty clearly
1,hornets Sprite MELOD1P WHAT A BEASTONE OF THE BEST ROOKIES IN NBA HISTORY Probably best in a looooong timeH
0.6,Im loving this hornets team AllFly
0.6,Im loving what Im seeing from my Charlotte Hornets
0,Thank youuuu Charlotte hornets
-0.4,MELOD1P on his hornets Rookie Record for 3s in a game SGVNSports chchampsports latsondheimer
